Model,Feature_Extraction_Method,Train_Accuracy,Validation_Accuracy,Test_Accuracy,Train_F1,Validation_F1,Test_F1,Train_Precision,Validation_Precision,Test_Precision,Train_Recall,Validation_Recall,Test_Recall,Train_AUC,Validation_AUC,Test_AUC
Logistic Regression,Bag of Words,0.87177734375,0.5965732087227414,0.6029992107340174,0.8721668377629331,0.5959408074924842,0.5998102811504905,0.87177734375,0.5965732087227414,0.6029992107340174,0.871178097612321,0.5943679564741844,0.6006444164465855,0.8660599180878572,0.5936357803872774,0.5918962521717548
Decision Tree,Bag of Words,0.85361328125,0.559190031152648,0.579321231254933,0.8799087253050043,0.562281646310626,0.567691963232135,0.85361328125,0.559190031152648,0.579321231254933,0.8479194070373403,0.536139539263913,0.5549856174674321,0.8340028671729154,0.550251769188895,0.5498883097542815
Random Forest,Bag of Words,0.94189453125,0.6035825545171339,0.601420678768745,0.9467879190061538,0.6162082046641961,0.5956098228221455,0.94189453125,0.6035825545171339,0.601420678768745,0.941300237983136,0.5833139443488459,0.5731077965350939,0.9340548679960037,0.5948119993778677,0.5694961528915363
SVM,Bag of Words,0.9111328125,0.6144859813084113,0.6243093922651933,0.9128332432613752,0.6188616807160432,0.619626270413242,0.9111328125,0.6144859813084113,0.6243093922651933,0.9105570418281317,0.6052918116716696,0.6106990198786769,0.9048859080868407,0.608450307177852,0.6012215012587314
KNN,Bag of Words,0.6181640625,0.5295950155763239,0.5367008681925809,0.6534391650948079,0.5427895104768382,0.5695095245771564,0.6181640625,0.5295950155763239,0.5367008681925809,0.6139499600925928,0.5156599884030825,0.5293313318721067,0.6352445960050477,0.5365940197527024,0.5554994149558558
Gaussian NB,Bag of Words,0.69375,0.5202492211838006,0.48066298342541436,0.8189051611498257,0.5609300889674721,0.5465075882012429,0.69375,0.5202492211838006,0.48066298342541436,0.67613741240355,0.4637991094558889,0.42657160559046997,0.7273012378551118,0.5335514036861342,0.5214782115377796
AdaBoost,Bag of Words,0.5955078125,0.5685358255451713,0.590370955011839,0.6108709281660247,0.6131341612213381,0.5998352121653499,0.5955078125,0.5685358255451713,0.590370955011839,0.5258897730523027,0.5007930217215671,0.5165431012041939,0.5496375437265563,0.5537998677968738,0.5421586356061411
Extra Trees,Bag of Words,0.71728515625,0.5700934579439252,0.5982636148382005,0.7912641572906388,0.6018509857581532,0.6121930632289747,0.71728515625,0.5700934579439252,0.5982636148382005,0.683075609304465,0.5139475180410376,0.5308971113371285,0.6797255980404553,0.5564973948207481,0.5516079849661384
XGBoost,Bag of Words,0.882421875,0.589563862928349,0.5935280189423836,0.8824268294502964,0.5887847932699535,0.5890886263419807,0.882421875,0.589563862928349,0.5935280189423836,0.882094341987423,0.5880885353328361,0.5898394557339961,0.878203411848998,0.587151994711875,0.5804347055277808
Logistic Regression,TF-IDF,0.8025390625,0.6191588785046729,0.6053670086819258,0.8050054106328364,0.6199314242933793,0.599409951865843,0.8025390625,0.6191588785046729,0.6053670086819258,0.7998618726021491,0.615167656513451,0.5980861071693547,0.7909396468158638,0.6151528112605956,0.5880846009289792
Decision Tree,TF-IDF,0.85107421875,0.5630841121495327,0.5572217837411207,0.8819755255161195,0.5674193946173591,0.5418933969010661,0.85107421875,0.5630841121495327,0.5572217837411207,0.8445913730704842,0.5393766444416701,0.5346424970902377,0.8301759412830754,0.5539942841589549,0.529057192497252
Random Forest,TF-IDF,0.9498046875,0.6020249221183801,0.6132596685082873,0.9536444906015038,0.6137280749902139,0.6100846519365881,0.9498046875,0.6020249221183801,0.6132596685082873,0.949371823593508,0.5822838994177942,0.5874928296679768,0.9429320406883197,0.59337817870752,0.5824469028117576
SVM,TF-IDF,0.94990234375,0.6300623052959502,0.6211523283346487,0.9515454887925265,0.6380269491844696,0.6165961073901551,0.94990234375,0.6300623052959502,0.6211523283346487,0.9496342730075039,0.6192609448186126,0.6049713199826221,0.9449530381124507,0.6234203670580916,0.5961777115909654
KNN,TF-IDF,0.6552734375,0.589563862928349,0.6006314127861089,0.6568209149214235,0.5958620410726754,0.5931167324611075,0.6552734375,0.589563862928349,0.6006314127861089,0.639893773121606,0.573015668603009,0.5820380348620733,0.6310640769141137,0.5817180573917101,0.5743006063184767
Gaussian NB,TF-IDF,0.708203125,0.5280373831775701,0.48303078137332284,0.8240647403186738,0.5668307814674886,0.5400036625488858,0.708203125,0.5280373831775701,0.48303078137332284,0.693561649784153,0.48036813063750944,0.43964995924439165,0.7401663282584496,0.5404677657671669,0.5201131085345531
AdaBoost,TF-IDF,0.5986328125,0.5708722741433022,0.5911602209944752,0.6183344497217054,0.616539836905073,0.6006601629871069,0.5986328125,0.5708722741433022,0.5911602209944752,0.5287564513229845,0.5044967180585059,0.5185963610654194,0.5525905582867867,0.5562349327319387,0.5432666737581108
Extra Trees,TF-IDF,0.71494140625,0.573208722741433,0.6069455406471981,0.7977253694369122,0.6170268306798173,0.6380829803098339,0.71494140625,0.573208722741433,0.6069455406471981,0.6779930035852011,0.5101169986326666,0.5350142345368235,0.6761459704630366,0.5588595536200327,0.5586994291387442
XGBoost,TF-IDF,0.97197265625,0.5661993769470405,0.5832675611681136,0.9719674510557438,0.5650140530401461,0.5805774346795648,0.97197265625,0.5661993769470405,0.5832675611681136,0.9719631888556733,0.5635591183778575,0.5815046571076264,0.9712084954097961,0.5630540866319309,0.5729620962308974
Logistic Regression,glove.6B.300d_mean,0.625,0.5926791277258567,0.6069455406471981,0.6203232089999309,0.5952066581843779,0.6004508792116706,0.625,0.5926791277258567,0.6069455406471981,0.6147106411929968,0.5827575649068181,0.5969406873657728,0.6053165418398994,0.5865444435803717,0.5870386129135199
Decision Tree,glove.6B.300d_mean,0.9986328125,0.5327102803738317,0.5288082083662194,0.998633255349261,0.5319416949291265,0.5281373224569061,0.9986328125,0.5327102803738317,0.5288082083662194,0.9986328792243633,0.5320729077766467,0.5284568458371155,0.9986606224232013,0.531058013842445,0.5203613090805943
Random Forest,glove.6B.300d_mean,0.9986328125,0.5973520249221184,0.5895816890292028,0.998633307180906,0.6010005593109403,0.5810250541699107,0.9986328125,0.5973520249221184,0.5895816890292028,0.9986327115943965,0.5864849863316652,0.5763622028286208,0.998538212857529,0.5909090909090908,0.5671471120093607
SVM,glove.6B.300d_mean,0.73017578125,0.5934579439252337,0.6227308602999211,0.7374361011864936,0.5997083532130262,0.6180123793593807,0.73017578125,0.5934579439252337,0.6227308602999211,0.7211244196971004,0.5780087096494517,0.6082712328605062,0.7101978324519844,0.585839684267828,0.599005424954792
KNN,glove.6B.300d_mean,0.644140625,0.5763239875389408,0.5935280189423836,0.6409358494155762,0.5775585823431605,0.5858239918487937,0.644140625,0.5763239875389408,0.5935280189423836,0.6350488468321983,0.5654543458455016,0.5825851971547245,0.6253898512243437,0.5700044715763278,0.5728911817891714
Gaussian NB,glove.6B.300d_mean,0.5818359375,0.5771028037383178,0.5887924230465666,0.5850126751873386,0.5765493017734585,0.5919667291647536,0.5818359375,0.5771028037383178,0.5887924230465668,0.5829671715392702,0.5766072392879837,0.5899333633901807,0.5788912606387859,0.5756182440314177,0.5856114597737829
