Model,Feature_Extraction_Method,Train_Accuracy,Validation_Accuracy,Test_Accuracy,Train_F1,Validation_F1,Test_F1,Train_Precision,Validation_Precision,Test_Precision,Train_Recall,Validation_Recall,Test_Recall,Train_AUC,Validation_AUC,Test_AUC
Logistic Regression,glove.840B.300d_mean,0.31484375,0.23130841121495327,0.2202052091554854,0.31762152296365753,0.22982929506318772,0.21886909889902426,0.31484375,0.23130841121495327,0.2202052091554854,0.3105269008441575,0.22632926518861607,0.21616198682273374,0.6665185384501291,0.5817700149131725,0.56695041995778
Decision Tree,glove.840B.300d_mean,0.99931640625,0.20404984423676012,0.19021310181531176,0.9993171544638745,0.20356399442462875,0.18924404740556294,0.99931640625,0.20404984423676012,0.19021310181531176,0.9993164507531954,0.20290459896997756,0.18964584571059417,0.9999996320280508,0.5168105301162893,0.5061873068795701
Random Forest,glove.840B.300d_mean,0.99931640625,0.23208722741433022,0.2549329123914759,0.9993171544638745,0.25860664376914266,0.27224499767471616,0.99931640625,0.23208722741433022,0.2549329123914759,0.9993164507531954,0.2136385181995454,0.24012289970675502,0.9999792953656798,0.5704352379949315,0.5815264319677609
SVM,glove.840B.300d_mean,0.43779296875,0.25,0.24388318863456984,0.50315343390361,0.2937062733671723,0.2638524337251658,0.43779296875,0.25,0.24388318863456984,0.4162209327884264,0.2320355627900336,0.22287568306129865,0.7843919906387483,0.6100965782350086,0.5969080601143907
KNN,glove.840B.300d_mean,0.31181640625,0.21806853582554517,0.22257300710339384,0.3328833514958534,0.22807875324128846,0.22279673952281376,0.31181640625,0.21806853582554517,0.22257300710339384,0.2933154246729086,0.20515074981599543,0.2047732614428534,0.6816703937733253,0.561517742947902,0.5552763878043382
Gaussian NB,glove.840B.300d_mean,0.24189453125,0.2102803738317757,0.22336227308603,0.2674842469879818,0.21343921454310025,0.23169695359051454,0.24189453125,0.2102803738317757,0.22336227308603,0.22354054671522694,0.19363433137706373,0.20312953258116523,0.58648611081789,0.5612086794689118,0.5696098300699306
AdaBoost,glove.840B.300d_mean,0.25263671875,0.22585669781931464,0.23441199684293607,0.25623404036344943,0.22422273397630357,0.23387880385685836,0.25263671875,0.22585669781931464,0.23441199684293607,0.23153227407215843,0.20414686294668388,0.2163509465825846,0.6135637539124353,0.5712217489244398,0.5837313487500491
Extra Trees,glove.840B.300d_mean,0.99931640625,0.25778816199376947,0.26203630623520124,0.9993170954570768,0.2819596121224934,0.27410356507543787,0.99931640625,0.25778816199376947,0.26203630623520124,0.9993164795341951,0.23411415639364172,0.23615526095570116,0.9999996320280508,0.5941976646997206,0.5920680882710843
XGBoost,glove.840B.300d_mean,0.99931640625,0.21651090342679127,0.24861878453038674,0.9993170491088451,0.216793337626941,0.2451537639504146,0.99931640625,0.21651090342679127,0.24861878453038674,0.9993164137365372,0.21459773352487926,0.24279733549320628,0.9999996320280508,0.5752295691525656,0.5859756471501513
Logistic Regression,glove.840B.300d_max,0.31484375,0.23130841121495327,0.2202052091554854,0.31762152296365753,0.22982929506318772,0.21886909889902426,0.31484375,0.23130841121495327,0.2202052091554854,0.3105269008441575,0.22632926518861607,0.21616198682273374,0.6665185384501291,0.5817700149131725,0.56695041995778
Decision Tree,glove.840B.300d_max,0.99931640625,0.20327102803738317,0.19652722967640096,0.9993171544638745,0.2017611647982142,0.1958997587498758,0.99931640625,0.20327102803738317,0.19652722967640096,0.9993164507531954,0.20156171285330718,0.19598022089401648,0.9999996320280508,0.5156193042450373,0.5102134857362801
Random Forest,glove.840B.300d_max,0.99931640625,0.24065420560747663,0.23283346487766376,0.9993171544638745,0.27300574228541025,0.2739348070632371,0.99931640625,0.24065420560747663,0.23283346487766376,0.9993164507531954,0.22530530108079921,0.22677395621519453,0.999992205652217,0.5632714463303836,0.5717033440539017
SVM,glove.840B.300d_max,0.43779296875,0.25,0.24388318863456984,0.50315343390361,0.2937062733671723,0.2638524337251658,0.43779296875,0.25,0.24388318863456984,0.4162209327884264,0.2320355627900336,0.22287568306129865,0.7848137983091197,0.6101151762730428,0.5971459855727965
