Model,Feature_Extraction_Method,Train_Accuracy,Validation_Accuracy,Test_Accuracy,Train_F1,Validation_F1,Test_F1,Train_Precision,Validation_Precision,Test_Precision,Train_Recall,Validation_Recall,Test_Recall,Train_AUC,Validation_AUC,Test_AUC
Logistic Regression,Bag of Words,0.7993920972644377,0.23598130841121495,0.22257300710339384,0.7994432115227321,0.23997836838725464,0.23286469593064962,0.7993920972644377,0.23598130841121495,0.22257300710339384,0.7983285572181701,0.235264592681975,0.2247595879602873,0.9632974916914457,0.5797044308974935,0.5595653567146074
Decision Tree,Bag of Words,0.8782457663916631,0.2071651090342679,0.1957379636937648,0.9000594064846866,0.21535637263987226,0.20474399951772673,0.8782457663916631,0.2071651090342679,0.1957379636937648,0.8817605006697445,0.20452683695200038,0.19398278809591432,0.9819907657703274,0.5232694585122818,0.5205924428857344
Random Forest,Bag of Words,0.9354754667824576,0.23442367601246106,0.2052091554853986,0.9507340082593748,0.266123854384262,0.25480529958253706,0.9354754667824576,0.23442367601246106,0.2052091554853986,0.9387197736890469,0.2201632271524097,0.20376965824249968,0.9978639845446478,0.5871820122882426,0.5712381151705133
SVM,Bag of Words,0.8594007815892314,0.2507788161993769,0.24388318863456984,0.8652602079739682,0.25428723515162455,0.25868678125724237,0.8594007815892314,0.2507788161993769,0.24388318863456984,0.8594952082424077,0.23997274073119507,0.23684900825712246,0.9733409725726726,0.6058972734962706,0.587345386668374
KNN,Bag of Words,0.18549717759444204,0.0911214953271028,0.07419100236779795,0.3483120609401049,0.10594155100210122,0.13075004128419918,0.18549717759444204,0.0911214953271028,0.07419100236779795,0.06132382482505201,0.016580829542223847,0.014444393087873628,0.913988209986407,0.5244435770646574,0.5196194711135497
Gaussian NB,Bag of Words,0.6455927051671733,0.17523364485981308,0.17916337805840568,0.7530968564677119,0.2279121100355229,0.21559765949285514,0.6455927051671733,0.17523364485981308,0.17916337805840568,0.6404337063874477,0.1679960744559301,0.16907117015113227,0.8002868305601262,0.5203969609173793,0.5208186476532276
AdaBoost,Bag of Words,0.25245332175423363,0.16277258566978192,0.13733228097868982,0.21941676748902025,0.1782015963500207,0.19819684939187493,0.25245332175423363,0.16277258566978192,0.13733228097868982,0.17438159453567256,0.12316640997165129,0.10941417976341619,0.5864611243390364,0.5552434353976728,0.5419086804253568
Extra Trees,Bag of Words,0.6910117238384715,0.20638629283489096,0.1878453038674033,0.8221504629424405,0.25022404409679416,0.2513778237472792,0.6910117238384715,0.20638629283489096,0.1878453038674033,0.708094404707453,0.18620497158764646,0.17628279706006575,0.9321781949873603,0.5874132790056538,0.5837872559520176
XGBoost,Bag of Words,0.8283108988276161,0.2383177570093458,0.23599052880820837,0.8301314063273909,0.2409056393642657,0.23480361153609208,0.8283108988276161,0.2383177570093458,0.23599052880820837,0.8288872457237031,0.23819741981159942,0.23470668567718467,0.9727082482988032,0.5793631558864029,0.5657393664889312
Logistic Regression,TF-IDF,0.6625271385149805,0.23286604361370716,0.22415153906866614,0.6631766280999298,0.2338232763498674,0.23163832361040737,0.6625271385149805,0.23286604361370716,0.22415153906866614,0.6571495097056287,0.22904776441823868,0.2239638335100313,0.9079364591102532,0.5951888344215758,0.575225188565076
