Model,Feature_Extraction_Method,Train_Accuracy,Validation_Accuracy,Test_Accuracy,Train_F1,Validation_F1,Test_F1,Train_Precision,Validation_Precision,Test_Precision,Train_Recall,Validation_Recall,Test_Recall,Train_AUC,Validation_AUC,Test_AUC
Logistic Regression,Bag of Words,0.79853515625,0.23753894080996885,0.24072612470402527,0.800737798437478,0.23748986326932447,0.23976930453889786,0.79853515625,0.23753894080996885,0.24072612470402527,0.7988613645936101,0.23668621711294618,0.23968709714485606,0.9593504491683811,0.5831624973791065,0.562267260177029
Decision Tree,Bag of Words,0.70888671875,0.23753894080996885,0.23204419889502761,0.8374605116238525,0.23225891015112732,0.23251736406276385,0.70888671875,0.23753894080996885,0.23204419889502761,0.7301693747573028,0.21590659450323924,0.21648069096470912,0.9316635681774011,0.5323461820864228,0.5285575126580399
Random Forest,Bag of Words,0.95224609375,0.2484423676012461,0.2565114443567482,0.9590039881838838,0.2905451899092365,0.27485013635441097,0.95224609375,0.2484423676012461,0.2565114443567482,0.9527165166208331,0.2304217946589648,0.2337109342441976,0.9984992715540105,0.5884917393071234,0.5869226869227518
SVM,Bag of Words,0.8048828125,0.2515576323987539,0.2525651144435675,0.8311347041644013,0.2997469671691244,0.3158634566303663,0.8048828125,0.2515576323987539,0.2525651144435675,0.8040669819233587,0.23087213245759652,0.2329337011168656,0.9680059599779394,0.6159014721201383,0.5953546652756752
KNN,Bag of Words,0.23515625,0.2087227414330218,0.2202052091554854,0.35651225828411937,0.23692356849957527,0.26934348322489104,0.23515625,0.2087227414330218,0.2202052091554854,0.15462881722339444,0.11120195750589734,0.136724932462976,0.7007999579677243,0.5456516282704024,0.5352167267341255
Gaussian NB,Bag of Words,0.6013671875,0.17601246105919002,0.17916337805840568,0.7621612151149135,0.22821529863307308,0.21566890617025503,0.6013671875,0.17601246105919002,0.17916337805840568,0.6152375708258542,0.16841821457812317,0.1691254274635059,0.7837789114813031,0.5200490946289784,0.5200599593500257
AdaBoost,Bag of Words,0.23564453125,0.22897196261682243,0.2296764009471192,0.3137017005585399,0.2174569294858803,0.3227910641475465,0.23564453125,0.22897196261682243,0.2296764009471192,0.18095911601200437,0.17179511246655121,0.17620655799518073,0.5702667460091132,0.5575326344699776,0.538517001564699
Extra Trees,Bag of Words,0.56611328125,0.2250778816199377,0.22573007103393844,0.7402846384061871,0.2718050871748296,0.2564038112728004,0.56611328125,0.2250778816199377,0.22573007103393844,0.5649144839949285,0.1934631014627526,0.1882285510009583,0.8957034353065481,0.58314755708147,0.5778124099050618
XGBoost,Bag of Words,0.80322265625,0.24532710280373832,0.24388318863456984,0.8044909690531765,0.2457524333049921,0.2429719037882231,0.80322265625,0.24532710280373832,0.24388318863456984,0.8031661235654939,0.2444145904513725,0.24272978109500554,0.9608725955699775,0.579083394918636,0.5664731325520113
Logistic Regression,TF-IDF,0.628125,0.24221183800623053,0.23599052880820837,0.6464635488082534,0.2527083626954733,0.2296844098181129,0.628125,0.24221183800623053,0.23599052880820837,0.624206474855005,0.23776259732728483,0.22834318670227652,0.8908017036939935,0.5962695477506452,0.5779781190294346
Decision Tree,TF-IDF,0.63564453125,0.2102803738317757,0.2509865824782952,0.8468816254283729,0.2006563894410324,0.26811368819317655,0.63564453125,0.2102803738317757,0.2509865824782952,0.6660386002737425,0.1793072696550115,0.22979716597485764,0.8975433743483027,0.5131780093421361,0.5442378049854075
Random Forest,TF-IDF,0.95029296875,0.2538940809968847,0.2509865824782952,0.9549642465223991,0.28186353337886416,0.27472815988026866,0.95029296875,0.2538940809968847,0.2509865824782952,0.9497907756986873,0.23315893810710359,0.23169889713290054,0.9984365189522437,0.5940829921345788,0.5857768184391866
SVM,TF-IDF,0.9265625,0.2546728971962617,0.23914759273875297,0.9303955017359964,0.32353048560639475,0.26956004543961515,0.9265625,0.2546728971962617,0.23914759273875297,0.925863509761067,0.23702283318898237,0.2241864985096803,0.9948179722630528,0.6146256551106214,0.5942876884351019
KNN,TF-IDF,0.32138671875,0.21962616822429906,0.22573007103393844,0.3358830933805602,0.2224631145506794,0.21144279339029676,0.32138671875,0.21962616822429906,0.22573007103393844,0.3111676303243111,0.20849253449540708,0.21400088098013278,0.6884075426548601,0.5679846545686706,0.5475261020053086
Gaussian NB,TF-IDF,0.61796875,0.17834890965732086,0.17916337805840568,0.7744042655454668,0.22259087236543665,0.21602895870848882,0.61796875,0.17834890965732086,0.17916337805840568,0.6332921318855866,0.17491171235277606,0.17585190911652956,0.7924910416877033,0.5206410659795615,0.519831153400529
AdaBoost,TF-IDF,0.22685546875,0.20950155763239875,0.21468034727703236,0.31046806603393556,0.2731968774038261,0.2201941455518466,0.22685546875,0.20950155763239875,0.21468034727703236,0.16412467871133496,0.14919132057383613,0.1522644358655234,0.5686393250676792,0.5500311055084871,0.5470031414290227
Extra Trees,TF-IDF,0.60087890625,0.23598130841121495,0.244672454617206,0.7592643679096029,0.26606263244359774,0.29456155200130024,0.60087890625,0.23598130841121495,0.244672454617206,0.5967900874185907,0.19994140514412137,0.21097792697907958,0.9182278489003167,0.5873029821210001,0.5936153058650846
XGBoost,TF-IDF,0.9798828125,0.2383177570093458,0.2296764009471192,0.979942186560173,0.23931202768785848,0.22953560152014535,0.9798828125,0.2383177570093458,0.2296764009471192,0.9798964633428676,0.23785371799552454,0.22886179937410883,0.9990574602572447,0.5771518324166167,0.5517650041750441
