Model,Feature_Extraction_Method,Train_Accuracy,Validation_Accuracy,Test_Accuracy,Train_F1,Validation_F1,Test_F1,Train_Precision,Validation_Precision,Test_Precision,Train_Recall,Validation_Recall,Test_Recall,Train_AUC,Validation_AUC,Test_AUC
Logistic Regression,glove.6B.300d_mean,0.30595703125,0.23130841121495327,0.23756906077348067,0.3081991111160671,0.2317759357141403,0.23861687400283885,0.30595703125,0.23130841121495327,0.23756906077348067,0.29946770205749496,0.22581371681074405,0.2322553963236112,0.6580979015613785,0.5744279565904017,0.5693393839580405
Decision Tree,glove.6B.300d_mean,0.9982421875,0.18457943925233644,0.20126282557221783,0.9982502073882792,0.18299850180065527,0.20151495236363268,0.9982421875,0.18457943925233644,0.20126282557221783,0.9982433585055448,0.18294283048068902,0.20118226075102913,0.9999980774081074,0.5046787645524896,0.5136285341894791
Random Forest,glove.6B.300d_mean,0.9982421875,0.2367601246105919,0.22573007103393844,0.9982473980908413,0.24548317314676593,0.24808333941808988,0.9982421875,0.2367601246105919,0.22573007103393844,0.9982431707088588,0.21865944222900555,0.21241158587756626,0.9999575987854321,0.5696508288465708,0.5612172683903274
SVM,glove.6B.300d_mean,0.43984375,0.25,0.250197316495659,0.5036978212338503,0.2920001382491476,0.23550733755585365,0.43984375,0.25,0.250197316495659,0.4177528525653914,0.2310682041513709,0.22690475283330863,0.7873569369000698,0.6032343494514297,0.5911617789513062
KNN,glove.6B.300d_mean,0.311328125,0.21806853582554517,0.22099447513812154,0.3263817810528643,0.20232035547040159,0.20896551984084238,0.311328125,0.21806853582554517,0.22099447513812154,0.29419364465528147,0.20321289136089044,0.206521426280119,0.683470837284961,0.5538954847619257,0.5559808543391034
Gaussian NB,glove.6B.300d_mean,0.23369140625,0.20950155763239875,0.20363062352012629,0.26529256920641114,0.21574190509377023,0.21745558601589868,0.23369140625,0.20950155763239875,0.20363062352012629,0.2122233342220739,0.19260133580694844,0.18298899614399636,0.5835691814409258,0.5571399888246182,0.5670347744514774
AdaBoost,glove.6B.300d_mean,0.251953125,0.22819314641744548,0.23204419889502761,0.2563112781187259,0.24833048119105258,0.22940714395892173,0.251953125,0.22819314641744548,0.23204419889502761,0.22564777610267933,0.20042346070979097,0.21236985844303827,0.6031229086754096,0.5716340892749632,0.5622319434692062
Extra Trees,glove.6B.300d_mean,0.9982421875,0.24766355140186916,0.2565114443567482,0.9982489280220148,0.2833225102838944,0.31371310601598446,0.9982421875,0.24766355140186916,0.2565114443567482,0.9982434236440586,0.22725926648479,0.234663386927398,0.9999980774081074,0.6011005709819486,0.5870792579587145
XGBoost,glove.6B.300d_mean,0.99833984375,0.23909657320872274,0.2107340173638516,0.9983430171634886,0.23965700255782799,0.20468712939825695,0.99833984375,0.23909657320872274,0.2107340173638516,0.9983406022010056,0.23649586893538654,0.20599778893223283,0.9999982430158252,0.5733485639368635,0.5526502613859773
Logistic Regression,glove.6B.300d_max,0.30595703125,0.23130841121495327,0.23756906077348067,0.3081991111160671,0.2317759357141403,0.23861687400283885,0.30595703125,0.23130841121495327,0.23756906077348067,0.29946770205749496,0.22581371681074405,0.2322553963236112,0.6580979015613785,0.5744279565904017,0.5693393839580405
